,Country,Sex,Age,Marital status
118,Yemen,Men,38,Married
119,Malta,Men,20,Single
120,Australia,Women,65,Single
121,Morocco,Women,55,Married
122,Australia,Men,97,Single
123,Latvia,Women,22,Single
124,Lao People's Democratic Republic,Women,85,Married
125,Lithuania,Women,58,Married
126,Russian Federation,Men,54,Married
127,Antigua and Barbuda,Women,41,Married
128,Djibouti,Men,72,Married
129,Croatia,Men,92,Married
130,Denmark,Men,24,Single
131,Netherlands Antilles,Women,37,Single
132,Canada,Men,74,Married
133,Palau,Men,16,Single
134,Azerbaijan,Men,79,Married
135,Bermuda,Women,84,Married
136,Tajikistan,Men,72,Single
137,State of Palestine,Women,60,Married
138,Mexico,Women,44,Single
139,Finland,Women,19,Single
140,China,Women,83,Married
141,Panama,Men,60,Married
142,Kuwait,Men,15,Single
143,El Salvador,Men,80,Single
144,Lesotho,Women,21,Single
145,New Zealand,Men,91,Married
146,Sweden,Women,92,Single
147,Thailand,Women,16,Single
148,Philippines,Women,63,Married
149,Djibouti,Men,63,Married
150,Suriname,Men,37,Single
151,Azerbaijan,Men,16,Single
152,Canada,Women,39,Married
153,Belize,Men,27,Single
154,Estonia,Men,45,Divorced
155,Indonesia,Men,80,Married
156,Hungary,Men,95,Married
157,Saint Vincent and the Grenadines,Women,82,Married
158,Turks and Caicos Islands,Women,79,Single
159,Djibouti,Women,21,Married
160,Brazil,Women,22,Single
161,Costa Rica,Women,25,Single
162,Estonia,Men,22,Single
163,Belize,Women,24,Single
164,Ecuador,Women,94,Single
165,State of Palestine,Women,41,Married
166,Syrian Arab Republic,Women,43,Married
167,Netherlands Antilles,Women,23,Married
168,Aruba,Men,67,Divorced
169,Bahrain,Men,77,Married
170,Réunion,Women,38,Single
171,Kuwait,Women,83,Married
172,South Sudan,Men,55,Married
173,Gibraltar,Men,65,Married
174,Syrian Arab Republic,Men,56,Married
175,Argentina,Women,52,Single
176,Cayman Islands,Men,75,Divorced
177,Malaysia,Women,77,Married
178,Greece,Men,79,Single
179,New Zealand,Women,41,Single
180,Spain,Women,15,Single
181,Malaysia,Women,89,Married
182,Japan,Men,24,Single
183,Finland,Women,15,Single
184,Cuba,Men,38,Single
185,United Kingdom,Women,53,Single
186,Liberia,Women,42,Married
187,Belarus,Women,85,Married
188,Argentina,Men,35,Single
189,Trinidad and Tobago,Women,62,Married
190,Slovakia,Women,87,Single
191,Aruba,Women,70,Married
192,New Caledonia,Women,39,Single
193,United Arab Emirates,Women,54,Married
194,Kyrgyzstan,Women,33,Married
195,Malaysia,Men,84,Married
196,Japan,Women,93,Married
197,Mayotte,Men,56,Married
198,Finland,Men,57,Single
199,Finland,Women,60,Single
200,Syrian Arab Republic,Women,77,Single
201,Libya,Men,42,Married
202,Réunion,Women,72,Married
203,Netherlands,Women,38,Single
204,Réunion,Men,74,Divorced
205,Yemen,Men,51,Single
206,Gibraltar,Women,89,Married
207,Spain,Women,46,Married
208,Israel,Women,30,Divorced
209,Saint Vincent and the Grenadines,Men,45,Single
210,Libya,Men,26,Single
211,Oman,Men,72,Married
212,Mexico,Women,25,Single
213,Venezuela (Bolivarian Republic of),Women,34,Married
214,New Caledonia,Men,59,Single
215,Syrian Arab Republic,Women,40,Single
216,Albania,Men,50,Married
217,Netherlands,Men,62,Married
218,Yemen,Women,27,Married
219,San Marino,Women,16,Single
220,Botswana,Men,83,Single
221,Malta,Women,86,Single
222,Belarus,Women,36,Married
223,Czech Republic,Men,99,Married
224,Ireland,Men,18,Single
225,Venezuela (Bolivarian Republic of),Men,67,Married
226,Djibouti,Women,24,Single
227,Dominica,Men,87,Single
228,"China, Hong Kong SAR",Women,19,Single
229,Costa Rica,Women,67,Single
230,Liechtenstein,Women,65,Single
231,Ireland,Women,79,Married
232,United Arab Emirates,Women,32,Married
233,Peru,Women,82,Single
234,Canada,Women,64,Married
235,Latvia,Men,71,Married
236,Belgium,Women,42,Married
237,Albania,Women,98,Married
238,Sudan,Men,40,Married
239,Belgium,Men,42,Single
240,French Guiana,Men,61,Single
241,Azerbaijan,Women,68,Married
242,Saint Vincent and the Grenadines,Men,96,Married
243,Lebanon,Men,34,Married
244,Democratic People's Republic of  of Korea,Women,97,Single
245,Belarus,Men,98,Married
246,Lithuania,Men,68,Married
247,Chile,Men,37,Married
248,Denmark,Women,46,Divorced
249,Chile,Women,74,Single
250,Kyrgyzstan,Men,61,Single
251,Greece,Women,46,Married
252,Israel,Men,57,Married
253,Cuba,Men,40,Married
254,Liechtenstein,Women,23,Single
255,Mexico,Women,43,Married
256,Montenegro,Women,21,Married
257,Aruba,Women,96,Married
258,Aruba,Men,69,Married
259,Thailand,Men,31,Single
260,Brazil,Men,93,Single
261,Aruba,Women,77,Single
262,Japan,Women,37,Married
263,Antigua and Barbuda,Men,25,Married
264,Indonesia,Women,52,Married
265,Tajikistan,Women,70,Single
266,Mongolia,Men,81,Single
267,South Sudan,Men,60,Married
268,Libya,Women,52,Married
269,San Marino,Women,96,Married
270,Lithuania,Men,36,Married
271,Venezuela (Bolivarian Republic of),Women,48,Single
272,Canada,Men,43,Single
273,Mexico,Women,87,Single
274,Cuba,Women,45,Single
275,Mozambique,Women,72,Single
276,Poland,Men,50,Married
277,Syrian Arab Republic,Men,18,Single
278,Iran (Islamic Republic of),Men,97,Married
279,Saint Lucia,Women,27,Single
280,Hungary,Men,42,Married
281,Luxembourg,Men,25,Divorced
282,Poland,Women,92,Single
283,El Salvador,Men,67,Single
284,Saint Vincent and the Grenadines,Men,50,Single
285,Croatia,Women,99,Married
286,Slovakia,Men,45,Single
287,Philippines,Women,68,Single
288,Cayman Islands,Women,29,Single
289,Trinidad and Tobago,Women,16,Single
290,Dominica,Women,25,Married
291,Netherlands Antilles,Men,91,Married
292,Azerbaijan,Men,24,Single
293,Bulgaria,Men,31,Single
294,Greece,Men,72,Single
295,Russian Federation,Women,19,Single
296,China,Women,56,Married
297,Argentina,Women,88,Single
298,Cuba,Women,33,Single
299,China,Women,71,Married
300,Palau,Women,39,Single
301,United Kingdom,Women,31,Married
302,Oman,Men,92,Married
303,New Zealand,Men,45,Married
304,Luxembourg,Women,48,Divorced
305,Poland,Men,89,Married
306,Poland,Men,90,Married
307,Mexico,Women,79,Married
308,Oman,Men,48,Married
309,New Caledonia,Men,83,Married
310,Estonia,Men,35,Single
311,Netherlands Antilles,Men,59,Divorced
312,Venezuela (Bolivarian Republic of),Women,94,Single
313,Algeria,Women,98,Married
314,Sweden,Men,42,Married
315,"China, Hong Kong SAR",Women,42,Married
316,Costa Rica,Women,43,Married
317,Bahrain,Men,70,Married
318,Croatia,Women,66,Married
319,Netherlands,Women,84,Single
320,Sudan,Men,90,Married
321,Greenland,Men,45,Single
322,Gibraltar,Women,18,Single
323,Canada,Women,42,Married
324,Swaziland,Women,76,Married
325,Sudan,Men,39,Married
326,San Marino,Men,50,Married
327,United Arab Emirates,Women,25,Single
328,Spain,Men,87,Married
329,Sudan,Women,92,Single
330,Libya,Men,98,Married
331,Mexico,Men,91,Married
332,Lesotho,Men,90,Single
333,Mozambique,Men,45,Single
334,Thailand,Women,22,Single
335,Palau,Women,18,Single
336,Chile,Men,59,Single
337,Malaysia,Women,17,Single
338,Bermuda,Men,19,Single
339,Japan,Women,80,Single
340,Republic of Korea,Women,49,Married
341,Kyrgyzstan,Women,31,Divorced
342,Tajikistan,Women,59,Married
343,Romania,Women,31,Married
344,Liberia,Men,85,Married
345,Israel,Men,94,Married
346,Libya,Women,28,Married
347,Panama,Women,57,Married
348,State of Palestine,Women,45,Married
349,Azerbaijan,Women,42,Married
350,Suriname,Women,54,Divorced
351,Aruba,Women,76,Divorced
352,Latvia,Women,56,Married
353,Tajikistan,Women,53,Single
354,Tajikistan,Women,87,Married
355,Belarus,Men,42,Married
356,Belgium,Men,39,Single
357,Trinidad and Tobago,Men,72,Divorced
358,Canada,Men,72,Single
359,Germany,Women,87,Married
360,Yemen,Men,99,Married
361,Swaziland,Women,96,Married
362,Sudan,Women,73,Married
363,State of Palestine,Women,48,Married
364,State of Palestine,Men,30,Married
365,Bulgaria,Women,48,Married
366,Republic of Korea,Women,30,Married
367,Saint Lucia,Men,32,Single
368,Iran (Islamic Republic of),Women,59,Single
369,Canada,Women,42,Married
370,Trinidad and Tobago,Women,63,Single
371,Germany,Women,61,Single
372,State of Palestine,Men,73,Married
373,Luxembourg,Men,97,Married
374,Turks and Caicos Islands,Women,46,Married
375,Philippines,Women,70,Single
376,United Kingdom,Men,66,Married
377,Saint Vincent and the Grenadines,Men,36,Single
378,Uruguay,Women,33,Single
379,Bermuda,Women,34,Married
380,Sweden,Women,41,Single
381,United Kingdom,Women,99,Married
382,Poland,Women,65,Married
383,United Arab Emirates,Men,87,Married
384,Slovenia,Men,73,Married
385,Trinidad and Tobago,Women,77,Married
386,Kyrgyzstan,Women,65,Married
387,Dominica,Women,97,Married
388,Albania,Women,56,Married
389,Canada,Men,20,Single
390,Chile,Women,53,Married
391,United Kingdom,Women,62,Married
392,Austria,Women,44,Married
393,Democratic People's Republic of  of Korea,Women,30,Married
394,San Marino,Men,71,Married
395,Cayman Islands,Women,85,Single
396,New Caledonia,Men,21,Single
397,New Zealand,Women,41,Married
398,Uruguay,Men,19,Single
399,Tajikistan,Women,34,Married
400,Switzerland,Men,57,Married
401,Greece,Men,72,Married
402,Ecuador,Men,17,Single
403,Singapore,Women,59,Single
404,Indonesia,Men,78,Married
405,Republic of Korea,Women,81,Single
406,China,Men,41,Married
407,Albania,Women,58,Married
408,New Zealand,Men,97,Married
409,New Caledonia,Women,83,Single
410,Azerbaijan,Men,29,Married
411,Ireland,Women,54,Single
412,French Guiana,Men,55,Married
413,Slovakia,Women,94,Married
414,Azerbaijan,Men,29,Single
415,United Arab Emirates,Women,76,Single
416,Cuba,Men,44,Single
417,Belarus,Women,57,Married
418,France,Men,73,Married
419,San Marino,Men,38,Married
420,Belize,Men,88,Married
421,Azerbaijan,Men,67,Single
422,Libya,Men,93,Married
423,United Kingdom,Men,31,Single
424,Switzerland,Women,51,Married
425,Libya,Men,97,Single
426,Botswana,Men,23,Single
427,Singapore,Women,36,Married
428,Republic of Korea,Women,82,Single
429,Mozambique,Men,94,Single
430,Azerbaijan,Men,93,Married
431,Gibraltar,Men,45,Married
432,Saudi Arabia,Women,25,Married
433,Mongolia,Women,28,Single
434,Belarus,Women,62,Married
435,Croatia,Women,91,Single
436,Bahrain,Women,87,Married
437,Botswana,Women,23,Single
438,Tonga,Women,87,Single
439,Swaziland,Women,28,Single
440,Bulgaria,Men,89,Single
441,Hungary,Women,95,Single
442,Spain,Men,46,Married
443,Spain,Women,36,Married
444,Bahrain,Women,37,Married
445,Palau,Men,95,Married
446,Costa Rica,Men,75,Married
447,China,Women,35,Married
448,Saudi Arabia,Women,46,Married
449,Sweden,Women,68,Married
450,Liechtenstein,Women,38,Single
451,Brunei Darussalam,Women,55,Single
452,San Marino,Men,79,Married
453,Argentina,Women,22,Single
454,Hungary,Women,26,Single
455,Australia,Women,59,Divorced
456,Malta,Men,83,Married
457,Republic of Korea,Men,70,Married
458,Italy,Men,29,Single
459,Lithuania,Women,51,Divorced
460,Singapore,Men,18,Single
461,El Salvador,Women,61,Married
462,Saudi Arabia,Women,56,Married
463,El Salvador,Women,23,Single
464,Montenegro,Women,42,Married
465,China,Women,20,Married
466,Switzerland,Men,96,Divorced
467,Djibouti,Women,19,Single
468,Austria,Men,62,Divorced
469,Kuwait,Women,34,Single
470,Oman,Women,76,Married
471,Spain,Women,51,Married
472,Costa Rica,Women,39,Married
473,El Salvador,Women,17,Single
474,New Caledonia,Women,79,Single
475,Slovenia,Men,69,Married
476,Thailand,Men,98,Married
477,Saint Lucia,Women,38,Single
478,Algeria,Men,20,Single
479,Albania,Men,36,Single
480,Russian Federation,Women,75,Single
481,Chile,Men,16,Single
482,Tajikistan,Men,44,Married
483,South Sudan,Men,56,Married
484,Japan,Men,93,Married
485,Israel,Men,64,Married
486,Libya,Men,16,Single
487,Germany,Women,66,Single
488,Yemen,Women,53,Married
489,United Arab Emirates,Women,26,Married
490,Singapore,Men,48,Divorced
491,Mongolia,Men,36,Married
492,Syrian Arab Republic,Women,98,Married
493,Saint Vincent and the Grenadines,Women,79,Single
494,Costa Rica,Men,87,Married
495,Indonesia,Men,97,Single
496,Trinidad and Tobago,Men,51,Single
497,Sweden,Women,26,Single
498,South Sudan,Women,98,Married
499,Brunei Darussalam,Women,64,Married
500,Netherlands,Women,54,Married
501,Norway,Women,62,Divorced
502,Kyrgyzstan,Men,53,Single
503,Israel,Men,95,Married
504,Lebanon,Men,95,Married
505,Slovakia,Women,63,Married
506,Thailand,Women,88,Married
507,Azerbaijan,Men,75,Single
508,Botswana,Women,18,Single
509,Netherlands Antilles,Men,73,Divorced
510,Singapore,Women,16,Single
511,Cuba,Women,33,Single
512,Belize,Women,50,Married
513,Morocco,Men,94,Married
514,Suriname,Men,35,Single
515,Israel,Women,60,Married
516,Bulgaria,Men,63,Married
517,Netherlands Antilles,Women,21,Married
518,Belgium,Women,21,Married
519,Slovakia,Men,81,Married
520,Liberia,Men,34,Single
521,Lao People's Democratic Republic,Women,19,Single
522,Botswana,Women,72,Single
523,Belize,Men,69,Married
524,Philippines,Men,44,Married
525,Anguilla,Women,72,Single
526,Trinidad and Tobago,Women,65,Married
527,Morocco,Women,87,Single
528,Netherlands,Men,76,Married
529,Kyrgyzstan,Women,64,Married
530,Latvia,Women,30,Single
531,Kyrgyzstan,Men,61,Married
532,Bahrain,Women,74,Married
533,Italy,Women,46,Married
534,Philippines,Women,31,Married
535,Israel,Women,41,Married
536,Tonga,Men,46,Single
537,Greece,Men,28,Single
538,Australia,Women,26,Married
539,Dominica,Men,23,Single
540,Ecuador,Men,81,Married
541,Greece,Women,59,Married
542,Uruguay,Women,41,Married
543,Cayman Islands,Men,55,Married
544,Libya,Women,90,Married
545,Singapore,Women,46,Married
546,Cayman Islands,Men,80,Married
547,"China, Hong Kong SAR",Women,74,Single
548,Germany,Men,42,Single
549,Japan,Men,45,Divorced
550,Greece,Men,48,Married
551,French Polynesia,Men,77,Married
552,Lao People's Democratic Republic,Men,47,Married
553,Mozambique,Women,78,Married
554,Switzerland,Women,27,Married
555,Swaziland,Men,21,Single
556,Yemen,Women,44,Married
557,Argentina,Men,30,Single
558,Albania,Men,20,Single
559,Slovenia,Women,90,Married
560,Cayman Islands,Men,77,Married
561,Uruguay,Men,79,Married
562,Lesotho,Men,55,Married
563,Indonesia,Women,59,Married
564,Hungary,Men,99,Married
565,Kyrgyzstan,Men,26,Married
566,Ireland,Women,48,Married
567,United Arab Emirates,Women,54,Married
568,Botswana,Men,59,Married
569,Netherlands Antilles,Men,86,Single
570,Norway,Women,23,Single
571,Faeroe Islands,Women,35,Single
572,South Sudan,Women,43,Married
573,Chile,Women,43,Single
574,Anguilla,Women,67,Single
575,Kuwait,Women,40,Single
576,Botswana,Men,93,Single
577,Lao People's Democratic Republic,Women,25,Married
578,Djibouti,Men,17,Single
579,Italy,Women,27,Married
580,New Caledonia,Men,21,Single
581,Suriname,Women,52,Married
582,Saudi Arabia,Men,58,Married
583,French Guiana,Men,54,Married
584,Australia,Men,58,Divorced
585,Algeria,Men,46,Married
586,Palau,Women,96,Divorced
587,Faeroe Islands,Women,18,Single
588,Algeria,Women,72,Married
589,Swaziland,Men,61,Married
590,Iran (Islamic Republic of),Women,33,Married
591,Kuwait,Women,57,Married
592,Netherlands Antilles,Women,47,Married
593,Russian Federation,Men,21,Single
594,Liechtenstein,Men,21,Single
595,Singapore,Men,61,Single
596,Jamaica,Men,71,Married
597,Jamaica,Men,57,Single
598,Luxembourg,Women,37,Married
599,Mayotte,Women,35,Married
600,Mayotte,Women,67,Married
601,Philippines,Women,26,Single
602,South Sudan,Women,30,Married
603,Lebanon,Women,90,Single
604,Ireland,Men,92,Divorced
605,Greenland,Women,72,Married
606,Faeroe Islands,Women,46,Married
607,Croatia,Men,86,Married
608,Russian Federation,Women,62,Married
609,Malaysia,Women,78,Single
610,Turks and Caicos Islands,Men,62,Married
611,Jamaica,Men,66,Married
612,Malaysia,Men,99,Married
613,Spain,Women,78,Married
614,Japan,Men,90,Married
615,Turks and Caicos Islands,Men,92,Single
616,Morocco,Women,36,Married
617,State of Palestine,Women,78,Single
618,Aruba,Men,90,Married
619,Uruguay,Men,42,Single
620,Swaziland,Women,63,Married
621,Panama,Women,17,Single
622,Russian Federation,Women,82,Single
623,Sudan,Men,52,Married
624,Italy,Women,87,Married
625,El Salvador,Women,45,Single
626,Antigua and Barbuda,Men,17,Single
627,Belgium,Men,43,Divorced
628,China,Men,78,Married
629,Turks and Caicos Islands,Men,57,Married
630,"China, Hong Kong SAR",Men,56,Married
631,Lesotho,Women,39,Single
632,Panama,Men,80,Married
633,Democratic People's Republic of  of Korea,Men,69,Married
634,Bulgaria,Men,44,Single
635,Republic of Korea,Women,60,Married
636,Iran (Islamic Republic of),Men,65,Married
637,Tajikistan,Men,95,Married
638,Chile,Men,62,Single
639,Finland,Women,60,Single
640,China,Men,79,Married
641,Spain,Men,27,Single
642,France,Men,77,Married
643,Republic of Korea,Women,31,Married
644,France,Women,66,Single
645,Panama,Women,16,Single
646,Brazil,Women,16,Single
647,Slovakia,Men,66,Single
648,Malta,Women,64,Married
649,Greece,Women,52,Married
650,Slovenia,Women,15,Single
651,Yemen,Men,34,Married
652,Belarus,Women,42,Married
653,Israel,Men,57,Married
654,Switzerland,Women,66,Single
655,State of Palestine,Men,27,Single
656,Mayotte,Women,33,Single
657,Faeroe Islands,Women,58,Single
658,Netherlands Antilles,Men,57,Married
659,Liechtenstein,Women,33,Married
660,Finland,Women,81,Single
661,Chile,Men,61,Married
662,Faeroe Islands,Men,66,Married
663,Sweden,Men,63,Single
664,Lesotho,Men,84,Single
665,United Kingdom,Women,45,Divorced
666,Djibouti,Men,72,Married
667,Luxembourg,Men,17,Single
668,Argentina,Women,73,Married
669,Bulgaria,Women,37,Married
670,San Marino,Men,81,Married
671,Ecuador,Women,97,Married
672,Luxembourg,Women,60,Single
673,Mexico,Women,70,Single
674,Belarus,Men,60,Married
675,Lebanon,Women,40,Married
676,Palau,Men,63,Married
677,Thailand,Men,60,Married
678,Saint Vincent and the Grenadines,Men,35,Married
679,Bahrain,Women,50,Single
680,Bermuda,Men,34,Married
681,Faeroe Islands,Women,81,Married
682,Latvia,Men,48,Married
683,France,Men,79,Single
684,Jamaica,Women,48,Married
685,Greenland,Men,77,Married
686,Japan,Women,26,Single
687,Bahrain,Women,60,Married
688,Réunion,Women,38,Single
689,Switzerland,Men,27,Married
690,Mongolia,Women,44,Married
691,Denmark,Women,62,Divorced
692,"China, Hong Kong SAR",Men,56,Divorced
693,Bahrain,Men,36,Married
694,"China, Hong Kong SAR",Men,99,Married
695,Bulgaria,Women,59,Married
696,Lebanon,Men,28,Single
697,Uruguay,Women,16,Single
698,Mozambique,Women,58,Divorced
699,Germany,Men,96,Divorced
700,Dominica,Men,76,Single
701,Thailand,Women,47,Married
702,Chile,Women,86,Single
703,Finland,Men,27,Single
704,Djibouti,Men,37,Married
705,Dominica,Men,46,Single
706,Mozambique,Women,30,Single
707,New Zealand,Women,42,Married
708,Hungary,Women,55,Married
709,Ecuador,Men,91,Single
710,Spain,Women,16,Single
711,Venezuela (Bolivarian Republic of),Men,74,Single
712,Romania,Women,90,Married
713,Australia,Women,31,Married
714,Liechtenstein,Women,40,Divorced
715,Norway,Men,28,Single
716,Malta,Men,94,Married
717,Bermuda,Women,85,Single
718,Netherlands,Women,68,Married
719,Israel,Men,57,Married
720,Mongolia,Men,51,Married
721,Republic of Korea,Men,23,Single
722,Cyprus,Men,65,Single
723,Azerbaijan,Women,58,Married
724,Tajikistan,Men,88,Married
725,Algeria,Women,47,Married
726,Indonesia,Men,73,Married
727,Romania,Women,45,Married
728,Saint Lucia,Women,80,Single
729,Cayman Islands,Men,24,Single
730,San Marino,Men,74,Married
731,Singapore,Men,92,Married
732,Mexico,Women,69,Married
733,Latvia,Women,76,Married
734,Iran (Islamic Republic of),Women,87,Single
735,Sudan,Men,49,Married
736,Mongolia,Men,91,Married
737,New Zealand,Men,54,Married
738,Cyprus,Women,31,Married
739,Lesotho,Women,90,Single
740,China,Women,86,Single
741,Kuwait,Women,52,Married
742,San Marino,Women,29,Married
743,Peru,Men,85,Single
744,Switzerland,Women,79,Married
745,Malaysia,Men,83,Single
746,Cayman Islands,Men,52,Single
747,Saint Lucia,Men,50,Married
748,Thailand,Women,98,Single
749,Saint Lucia,Men,26,Single
750,Canada,Men,91,Married
751,New Zealand,Women,30,Single
752,Democratic People's Republic of  of Korea,Men,90,Married
753,Democratic People's Republic of  of Korea,Women,42,Married
754,Liberia,Men,62,Married
755,Belgium,Women,65,Married
756,Singapore,Men,17,Single
757,Republic of Korea,Men,83,Married
758,Algeria,Women,37,Single
759,Bahrain,Women,46,Married
760,United Arab Emirates,Women,30,Married
761,Indonesia,Women,83,Single
762,Philippines,Men,93,Married
763,Italy,Men,88,Single
764,Latvia,Men,62,Single
765,Mexico,Women,51,Single
766,Finland,Women,28,Married
767,Slovakia,Men,94,Single
768,Libya,Men,96,Married
769,Lao People's Democratic Republic,Women,71,Married
770,Saudi Arabia,Men,27,Single
771,Belgium,Men,82,Single
772,Croatia,Men,85,Married
773,Algeria,Women,91,Married
774,Gibraltar,Men,85,Married
775,Montenegro,Women,24,Single
776,Republic of Korea,Men,70,Married
777,South Sudan,Men,46,Single
778,Finland,Men,89,Married
779,Czech Republic,Women,94,Single
780,Finland,Men,83,Married
781,Romania,Women,94,Married
782,Japan,Men,70,Divorced
783,Morocco,Women,54,Divorced
784,Italy,Men,39,Married
785,Switzerland,Women,70,Married
786,Belgium,Women,72,Single
787,Panama,Men,47,Single
788,Australia,Men,24,Single
789,United Arab Emirates,Men,37,Married
790,Saudi Arabia,Women,60,Married
791,Austria,Women,79,Married
792,New Zealand,Men,44,Married
793,Venezuela (Bolivarian Republic of),Men,65,Single
794,Slovakia,Women,32,Married
795,Romania,Men,37,Married
796,Jamaica,Women,41,Single
797,Croatia,Men,40,Single
798,New Zealand,Men,73,Single
799,Belarus,Men,55,Married
800,Kyrgyzstan,Men,84,Single
801,Réunion,Women,50,Single
802,Israel,Men,92,Married
803,Albania,Women,45,Married
804,Lebanon,Women,98,Single
805,Lebanon,Men,41,Married
806,Jamaica,Women,24,Single
807,Netherlands,Women,68,Single
808,Azerbaijan,Women,73,Married
809,Peru,Women,58,Married
810,Singapore,Men,24,Single
811,Singapore,Women,70,Married
812,Azerbaijan,Men,35,Married
813,Cyprus,Men,77,Married
814,Israel,Men,42,Divorced
815,Malta,Men,52,Married
816,Saint Vincent and the Grenadines,Men,77,Married
817,Suriname,Women,81,Single
818,Poland,Women,32,Single
819,Peru,Women,65,Married
820,United Kingdom,Men,19,Single
821,Netherlands,Men,58,Single
822,Poland,Men,92,Single
823,Montenegro,Men,93,Single
824,Brazil,Women,82,Married
825,Swaziland,Men,97,Married
826,Italy,Women,15,Single
827,Cuba,Men,71,Married
828,Saint Vincent and the Grenadines,Women,51,Single
829,Mayotte,Men,76,Married
830,State of Palestine,Men,63,Married
831,French Polynesia,Women,42,Single
832,Oman,Women,70,Single
833,Botswana,Men,17,Single
834,Iran (Islamic Republic of),Women,48,Single
835,Kuwait,Women,65,Married
836,Algeria,Women,49,Married
837,Mayotte,Women,39,Married
838,Saint Lucia,Women,39,Single
839,Liechtenstein,Women,76,Married
840,Libya,Women,57,Married
841,Libya,Women,93,Single
842,Algeria,Women,37,Married
843,Croatia,Men,20,Single
844,Latvia,Men,86,Divorced
845,Tajikistan,Men,45,Married
846,Tonga,Women,54,Single
847,Botswana,Men,66,Divorced
848,France,Women,76,Single
849,Lithuania,Men,65,Single
850,Palau,Women,32,Married
851,Lesotho,Women,75,Single
852,Singapore,Men,68,Single
853,Bahrain,Women,89,Single
